Shape,b1 (mm),d1 (mm),davg (mm),ravg,b* (mm),b*/davg,fc (MPa),fy (MPa),Pu (kN)
S,100,,75,0.014959965,100,1.333333333,26.4,480,185
C,140,,106,0.006668475,109.9557429,1.037318329,11.5395,350,187
S,200,,100,0.007272205,200,2,20.52,507,188
S,160,,80,0.013962634,160,2,24.525,525,190
S,200,,100,0.005304952,200,2,34.125,460,191
S,200,,77,0,200,2.597402597,24.15,500,194
S,200,,77,0,200,2.597402597,25.725,500,194
S,200,,77,0.009207482,200,2.597402597,30.3,500,194
C,125,,99,0,98.17477042,0.991664348,21.45,701,194
S,100,,107,0.010569844,100,0.934579439,23.019165,324,196
S,150,,75,0.014959965,150,2,21.525,480,197
C,150,,95,0.008726646,117.8097245,1.240102363,21.75,494,197
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,198
C,140,,111,0.006368093,109.9557429,0.990592278,11.5395,350,198
S,150,,100,0.0055702,150,1.5,34.95,462,198
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,199
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,200
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,201
C,221,,82,0.0121,173.5729941,2.116743831,16.046,559,201
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,202
S,200,,100,0.010908308,200,2,19,507,202
C,152,,130,0.00724359,119.6946801,0.920728308,24.89095,305,203
C,102,,82.55,0.017523624,79.7964534,0.966643893,37.99145,531,204
R,80,320,92,0.014866786,200,2.173913043,17.385,352,210
S,100,,107,0.009786893,100,0.934579439,34.016175,324,211
C,150,,93,0.016249617,117.8097245,1.266771231,25.125,464,214
C,150,,95,0.008726646,117.8097245,1.240102363,35.475,494,214
S,201,,82,0.0089,201,2.451219512,12.354,510,215
S,100,,107,0.010569844,100,0.934579439,24.323895,304,216
C,254,,130,0.00724359,199.4911335,1.534547181,24.89095,305,216
C,125,,100,0,98.17477042,0.981747704,26.775,706,216
C,254,,130,0.00724359,199.4911335,1.534547181,24.89095,305,220
R,100,300,92,0.014866786,200,2.173913043,19.475,352,220
S,200,,75,0.014959965,200,2.666666667,11.55,480,221
S,150,,100,0,150,1.5,38.025,462,222
S,150,,75,0.014959965,150,2,23.7,480,227
C,150,,102,0.010266643,117.8097245,1.154997299,31.575,650,227
C,203,,121.55821,0.006645023,159.5929068,1.312892885,15.2877447,450,230
S,150,,75,0.014959965,150,2,27,480,235
S,160,,80,0.013962634,160,2,31.875,525,236
S,130,,96,0.014577466,130,1.354166667,29.3,526,236
C,356,,130,0.00724359,279.2875869,2.148366053,24.89095,305,239
C,300,,80,0.0202,235.619449,2.945243113,15.62,403,239
C,221,,82,0.01327,173.5729941,2.116743831,19.17,456,240
C,150,,90,0.005817764,117.8097245,1.308996939,31.825,620,240
S,120,,107,0.009802577,120,1.121495327,52.44,749,240
R,120,360,108,0.009711813,240,2.222222222,51.52,749,241
S,203,,124,0.01,203,1.637096774,17.86,255,242
C,356,,130,0.00724359,279.2875869,2.148366053,24.89095,305,243
C,356,,130,0.00724359,279.2875869,2.148366053,24.89095,305,243
C,152,,80.79121,0.014994045,119.6946801,1.481531005,49.47229464,450,243
S,130,,100,0.007479983,130,1.3,34.7,550,243
R,201,402,82,0.01255,301.5,3.676829268,11.999,491,244
C,150,,100,0.012466638,117.8097245,1.178097245,30.825,650,244
R,229,432,80,0.013368479,330.2,4.1275,14.196805,490,245
C,229,,80,0.009817477,179.5420202,2.244275252,22.2742975,490,245
C,221,,82,0.00893,173.5729941,2.116743831,15.904,559,245
R,120,240,109,0.009622713,180,1.651376147,53.36,749,246
C,150,,93,0.016249617,117.8097245,1.266771231,39.975,464,248
S,160,,80,0.013962634,160,2,26.55,525,248
C,356,,130,0.00724359,279.2875869,2.148366053,24.89095,305,249
S,150,,95,0.008445262,150,1.578947368,66.5,490,249
R,120,480,108,0.009711813,300,2.777777778,51.52,749,251
R,133,267,91,0.015030435,200,2.197802198,21.185,352,252
S,203,,114,0.011,203,1.780701754,36.385,255,254
